nom;y_lat;type_public;Timestamp;RowKey;x_long;num_quartier;PartitionKey;type_acces;payant;cle;operateur;situation;entityid;cp;geometrie;formation;geo_point_2d
Mairie annexe Caudéran;44.8521992462704;Tous;2015-05-06T11:12:24.0946546Z;bacaf193-a4a8-48df-ad67-e8911f47e3d1;-0.615540888697352;8;159ada25-d693-4cf1-aafd-ba7e7b4d76ea;Poste libre service;NON;301;Ville;Interne;159ada25-d693-4cf1-aafd-ba7e7b4d76ea;33000;"{""type"": ""Point"", ""coordinates"": [-0.615540888697352, 44.8521992462704]}";non;44.8521992463,-0.615540888697
Ibaia;44.8500304622651;Tous;2015-05-06T11:12:21.4791904Z;d1cc8d70-7aeb-4b63-bf9c-638cc2c6f15d;-0.56945597398709;2;27c5ad7a-f39c-4a2f-bb57-905bfcc7accf;Wifi;NON;277;Ville;Externe;27c5ad7a-f39c-4a2f-bb57-905bfcc7accf;33000;"{""type"": ""Point"", ""coordinates"": [-0.56945597398709, 44.8500304622651]}";;44.8500304623,-0.569455973987
Club Senior Magendie;44.8332183324786;Seniors;2015-05-06T11:12:25.9877979Z;70011426-c991-444d-aa05-740faccda950;-0.575700287391315;6;3fc088ae-1d38-44fd-bbe9-2e034b69e15d;Poste libre service;OUI;330;Ville;Interne;3fc088ae-1d38-44fd-bbe9-2e034b69e15d;33000;"{""type"": ""Point"", ""coordinates"": [-0.575700287391315, 44.8332183324786]}";oui;44.8332183325,-0.575700287391
Mirroir Eau Nord 1;44.8422218729537;Tous;2015-05-06T11:12:27.3468771Z;70989420-0463-4a6b-b08a-01eea733eb1c;-0.569721776676866;3;418ac23c-87c2-4ec3-87b4-bba24b7f2f9e;Wifi;NON;310;Ville;Externe;418ac23c-87c2-4ec3-87b4-bba24b7f2f9e;33000;"{""type"": ""Point"", ""coordinates"": [-0.569721776676866, 44.8422218729537]}";non;44.842221873,-0.569721776677
Mairie annexe St Augustin;44.8329617080137;Tous;2015-05-06T11:12:27.8385984Z;7743bb8d-f609-4c87-8f1e-891864cde84e;-0.611203453401391;4;4ff7f9a5-cc21-4c46-a200-60662ea79b27;Poste libre service;NON;337;Ville;Interne;4ff7f9a5-cc21-4c46-a200-60662ea79b27;33000;"{""type"": ""Point"", ""coordinates"": [-0.611203453401391, 44.8329617080137]}";non;44.832961708,-0.611203453401
Mirroir Eau Sud 2;44.8410140620273;Tous;2015-05-06T11:12:24.3311088Z;3ddd9bec-c429-4fc3-95e7-a1925036a200;-0.569200241364265;3;531c7094-aafb-4556-9f30-09d15aa24e1f;Wifi;NON;306;Ville;Externe;531c7094-aafb-4556-9f30-09d15aa24e1f;33000;"{""type"": ""Point"", ""coordinates"": [-0.569200241364265, 44.8410140620273]}";non;44.841014062,-0.569200241364
Patinoire Mériadeck;44.835180548989;Tous;2015-05-06T11:12:19.816962Z;672e3e6b-aced-41dc-8b87-1004f9ad4535;-0.588037974686414;3;56e1c9a3-4e3d-4d3a-beed-c9e2f6142764;Wifi;NON;1013;;Interne;56e1c9a3-4e3d-4d3a-beed-c9e2f6142764;;"{""type"": ""Point"", ""coordinates"": [-0.588037974686414, 44.835180548989]}";;44.835180549,-0.588037974686
Bibliothèque Bacalan;44.8730804059259;Tous;2015-05-06T11:12:23.4229821Z;74767058-07aa-4f6b-bdc8-25d2b6fc8457;-0.5461534697722;1;5960ae94-9c11-422a-88aa-97103bf9c846;Poste libre service;NON;285;Ville;Interne;5960ae94-9c11-422a-88aa-97103bf9c846;33000;"{""type"": ""Point"", ""coordinates"": [-0.5461534697722, 44.8730804059259]}";non;44.8730804059,-0.546153469772
Bibliothèque Grand Parc;44.8567411146206;Tous;2015-05-06T11:12:23.3124374Z;2d217564-458d-43e1-a64d-d1c6dc6de633;-0.583625651534337;2;6a72c50e-fda3-4959-80d7-98ee9f948741;Poste libre service;NON;288;Ville;Interne;6a72c50e-fda3-4959-80d7-98ee9f948741;33000;"{""type"": ""Point"", ""coordinates"": [-0.583625651534337, 44.8567411146206]}";non;44.8567411146,-0.583625651534
Skate2;44.853716622717;Tous;2015-05-06T11:12:22.6552789Z;fd44fdb5-8c7e-4cbc-b1ce-bc743e880354;-0.566037672243968;2;7e007e2c-2869-48d4-8752-dd2c19027a5a;Wifi;NON;269;Ville;Externe;7e007e2c-2869-48d4-8752-dd2c19027a5a;33000;"{""type"": ""Point"", ""coordinates"": [-0.566037672243968, 44.853716622717]}";non;44.8537166227,-0.566037672244
Bibliothèque Bastide;44.8440508455854;Tous;2015-05-06T11:12:26.051349Z;ba4680f7-b0ae-4d99-b4bc-35ad27f8a4c1;-0.542220092867005;7;846dad39-cde0-4925-a838-6d168df6c543;Wifi;NON;313;Ville;Externe;846dad39-cde0-4925-a838-6d168df6c543;33000;"{""type"": ""Point"", ""coordinates"": [-0.542220092867005, 44.8440508455854]}";;44.8440508456,-0.542220092867
Jardin Botanique 1;44.8443499096176;Tous;2015-05-06T11:12:20.2400124Z;252d1655-5a83-4db5-8e41-dd53d8446c42;-0.55827184189155;7;942ad8f7-f097-4557-b71a-c5d75f1032ae;Wifi;NON;259;Ville;Externe;942ad8f7-f097-4557-b71a-c5d75f1032ae;33000;"{""type"": ""Point"", ""coordinates"": [-0.55827184189155, 44.8443499096176]}";;44.8443499096,-0.558271841892
EBA;44.8307465140602;Tous;2015-05-06T11:12:29.0650859Z;46ca9018-07e5-488e-896a-20ade3d7d2ae;-0.560807267688721;6;9b4d187d-36e3-4372-ac71-cabe86714321;Wifi;NON;962;Ville;Externe;9b4d187d-36e3-4372-ac71-cabe86714321;33000;"{""type"": ""Point"", ""coordinates"": [-0.560807267688721, 44.8307465140602]}";;44.8307465141,-0.560807267689
Mairie Annexe Bacalan;44.8733767377706;Tous;2015-05-06T11:12:23.7544385Z;d1dc9b38-5765-4bec-b6a8-ca34072bc1f7;-0.545965462038406;1;9c8720e7-87ce-4da4-a170-ed1639e252b6;Poste libre service;NON;290;Ville;Interne;9c8720e7-87ce-4da4-a170-ed1639e252b6;33000;"{""type"": ""Point"", ""coordinates"": [-0.545965462038406, 44.8733767377706]}";non;44.8733767378,-0.545965462038
Esplanade Sport1;44.8325362751921;Tous;2015-05-06T11:12:20.5257325Z;d5509bef-708d-4de2-b495-f7286326d287;-0.559472483829691;6;a738604b-a6f1-4b43-974c-699efd4ede18;Wifi;NON;323;Ville;Externe;a738604b-a6f1-4b43-974c-699efd4ede18;33000;"{""type"": ""Point"", ""coordinates"": [-0.559472483829691, 44.8325362751921]}";;44.8325362752,-0.55947248383
